"Cód.";"Município";"Batata-doce (Kg/ha)";"Cana-de-açúcar(Kg/ha)";"Feijão (em grão)(Kg/ha)";"Mandioca(Kg/ha)";"Melancia(Kg/ha)";"Milho (em grão)(Kg/ha)"
"2408409";"Olho d'Água do Borges (RN)";"-";"-";350;"-";"-";500
"2408508";"Ouro Branco (RN)";"-";"-";257;"-";18000;357
"2408607";"Paraná (RN)";"-";50000;545;"-";"-";909
"2408706";"Paraú (RN)";"-";"-";500;"-";"-";600
"2408805";"Parazinho (RN)";9000;"-";463;9000;"-";565
"2408904";"Parelhas (RN)";"-";"-";407;"-";25000;400
"2408953";"Rio do Fogo (RN)";"-";"-";600;13556;29000;700
"2409100";"Passa e Fica (RN)";6000;"-";400;8000;"-";600
"2409209";"Passagem (RN)";10000;60000;500;10000;"-";650
"2409308";"Patu (RN)";9000;"-";380;"-";"-";380
"2409332";"Santa Maria (RN)";6000;"-";400;8000;"-";600
"2409407";"Pau dos Ferros (RN)";10000;45000;471;"-";"-";702
"2409506";"Pedra Grande (RN)";14000;"-";275;"-";18000;"-"
"2409605";"Pedra Preta (RN)";"-";"-";293;9813;"-";408
"2409704";"Pedro Avelino (RN)";"-";"-";399;"-";"-";350
"2409803";"Pedro Velho (RN)";10000;60000;500;9500;25000;600
"2409902";"Pendências (RN)";15000;"-";833;10000;23250;600
"2410009";"Pilões (RN)";"-";50000;412;"-";"-";438
"2410108";"Poço Branco (RN)";11533;"-";450;11768;"-";400
"2410207";"Portalegre (RN)";10000;50000;636;8214;"-";969
"2410256";"Porto do Mangue (RN)";"-";"-";400;"-";20072;400
"2410306";"Serra Caiada (RN)";11000;"-";400;9000;"-";600
"2410405";"Pureza (RN)";10000;56689;347;10017;25000;380
"2410504";"Rafael Fernandes (RN)";"-";43333;444;"-";"-";600
"2410603";"Rafael Godeiro (RN)";10000;52500;556;"-";28125;588
"2410702";"Riacho da Cruz (RN)";"-";45000;571;"-";"-";786
"2410801";"Riacho de Santana (RN)";"-";50000;417;"-";25000;563
"2410900";"Riachuelo (RN)";6000;"-";400;7000;"-";600
"2411007";"Rodolfo Fernandes (RN)";"-";"-";955;"-";"-";435
"2411056";"Tibau (RN)";"-";"-";300;"-";25000;400
"2411106";"Ruy Barbosa (RN)";6000;"-";400;"-";"-";600
"2411205";"Santa Cruz (RN)";20000;"-";150;"-";10000;400
"2411403";"Santana do Matos (RN)";"-";"-";500;10000;25600;500
"2411429";"Santana do Seridó (RN)";"-";"-";300;"-";12000;600
"2411502";"Santo Antônio (RN)";10000;"-";400;10000;"-";700
"2411601";"São Bento do Norte (RN)";18000;"-";417;"-";15000;454
"2411700";"São Bento do Trairí (RN)";"-";"-";300;"-";"-";304
"2411809";"São Fernando (RN)";9000;"-";225;"-";19130;200
"2411908";"São Francisco do Oeste (RN)";10000;"-";714;"-";"-";600
"2412005";"São Gonçalo do Amarante (RN)";8300;65000;500;11777;"-";668
"2412104";"São João do Sabugi (RN)";9000;"-";300;"-";19500;250
"2412203";"São José de Mipibu (RN)";10304;66209;"-";9000;"-";700
"2412302";"São José do Campestre (RN)";"-";"-";400;8000;"-";600
"2412401";"São José do Seridó (RN)";"-";"-";200;"-";18000;100
"2412500";"São Miguel (RN)";9000;50000;476;8800;"-";636
"2412559";"São Miguel do Gostoso (RN)";11400;"-";800;13452;"-";350
"2412609";"São Paulo do Potengi (RN)";6000;"-";450;8000;"-";600
"2412708";"São Pedro (RN)";6000;"-";451;8000;"-";600
"2412807";"São Rafael (RN)";"-";"-";500;"-";"-";500
"2412906";"São Tomé (RN)";6000;"-";400;"-";"-";600
"2413003";"São Vicente (RN)";"-";"-";300;7000;1000;429
"2413102";"Senador Elói de Souza (RN)";6000;"-";450;12000;"-";600
"2413201";"Senador Georgino Avelino (RN)";"-";"-";600;9000;"-";700
"2413300";"Serra de São Bento (RN)";6000;"-";400;9000;"-";600
"2413359";"Serra do Mel (RN)";"-";"-";560;"-";16000;402
"2413409";"Serra Negra do Norte (RN)";"-";"-";233;"-";27000;400
"2413508";"Serrinha (RN)";"-";"-";560;8000;"-";700
"2413557";"Serrinha dos Pintos (RN)";"-";"-";625;8750;"-";500
"2413607";"Severiano Melo (RN)";"-";"-";664;"-";"-";990
"2413706";"Sítio Novo (RN)";6000;"-";400;8000;"-";600
"2413805";"Taboleiro Grande (RN)";"-";50000;571;"-";"-";727
"2413904";"Taipu (RN)";11000;67000;445;12000;"-";328
"2414001";"Tangará (RN)";6000;"-";400;7500;"-";600
"2414100";"Tenente Ananias (RN)";"-";48333;438;"-";"-";522
"2414159";"Tenente Laurentino Cruz (RN)";15000;"-";500;7000;"-";900
"2414209";"Tibau do Sul (RN)";"-";60000;600;10000;"-";700
"2414308";"Timbaúba dos Batistas (RN)";"-";"-";167;"-";"-";367
"2414407";"Touros (RN)";13229;"-";600;11298;20000;500
"2414456";"Triunfo Potiguar (RN)";"-";"-";500;9400;30000;500
"2414506";"Umarizal (RN)";"-";"-";682;"-";"-";629
"2414605";"Upanema (RN)";11000;"-";288;"-";24167;406
"2414704";"Várzea (RN)";9500;"-";600;8000;"-";700
"2414753";"Venha-Ver (RN)";"-";45000;615;7200;"-";737
"2414803";"Vera Cruz (RN)";8900;"-";600;12000;"-";800
"2414902";"Viçosa (RN)";9000;"-";500;"-";"-";800
"2415008";"Vila Flor (RN)";9000;61114;600;8000;"-";700
