Nome: GOIANESIA
Codigo Estacao: A022
Latitude: -15.22027777
Longitude: -48.98999999
Altitude: 667.01
Situacao: Operante
Data Inicial: 2021-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2021-08-02;0;29,8;17,6;
2021-08-03;0;31,9;16,5;
2021-08-04;0;31,8;16,5;
2021-08-05;0;29,8;17,4;
2021-08-06;0;29;18,2;
2021-08-07;0;26,8;18;
2021-08-08;0;30,1;16,9;
2021-08-09;0;31,5;17,2;
2021-08-10;0;32,3;17,3;
2021-08-11;0;33,4;15,6;
2021-08-12;0;33,7;16,1;
2021-08-13;0;33,6;20,7;
2021-08-14;0;33,6;19;
2021-08-15;0;34;18,1;
2021-08-16;0;33,8;18,3;
2021-08-17;0;34,6;17,7;
2021-08-18;0;33;19,6;
2021-08-19;0;30,5;16,6;
2021-08-20;0;31,3;16,6;
2021-08-21;0;32,1;17,6;
2021-08-22;0;33;20;
2021-08-23;0;33,8;18,5;
2021-08-24;0;34,3;19,7;
2021-08-25;0;34,9;21,3;
2021-08-26;0;36,2;21,8;
2021-08-27;0;36,2;21,8;
2021-08-28;0;35;22,2;
2021-08-29;0;33,9;20,4;
2021-08-30;0;33,1;19,9;
2021-08-31;2,8;33,4;18,3;
2021-09-01;0;32,7;19,7;
2021-09-02;0;32,7;20,6;
2021-09-03;0;34,7;19,8;
2021-09-04;0;35,4;19,3;
2021-09-05;0;36,4;20,3;
2021-09-06;0;37,9;18,4;
2021-09-07;0;37,7;18,4;
2021-09-08;0;35,9;21,8;
2021-09-09;0;36,8;20,4;
2021-09-10;0;37,6;19,2;
2021-09-11;0;38;21;
2021-09-12;0;37,3;20;
2021-09-13;0;36,2;22,6;
2021-09-14;0;36,8;19,2;
2021-09-15;0;38,2;19,6;
2021-09-16;0;38,1;21,5;
2021-09-17;0;35,8;23,5;
2021-09-18;0;36,2;19,7;
2021-09-19;0;38;19,9;
2021-09-20;0;38,4;20,9;
2021-09-21;0;38,2;21;
2021-09-22;0;37,7;21,6;
2021-09-23;0;37,4;22,9;
2021-09-24;0;35,3;20,8;
2021-09-25;2,4;34,8;19,6;
2021-09-26;,2;28,6;20,4;
2021-09-27;0;35,8;20,4;
2021-09-28;0;36,2;20,4;
2021-09-29;0;37,3;22,1;
2021-09-30;13,4;35,5;19,3;
2021-10-01;0;34,9;21,2;
2021-10-02;17,6;30,4;19,2;
2021-10-03;,2;34,9;20,1;
2021-10-04;0;36,7;22,2;
2021-10-05;0;36,7;21,7;
2021-10-06;0;38,2;22,4;
2021-10-07;0;37;21,8;
2021-10-08;0;37,1;23,9;
2021-10-09;0;35,5;22,3;
2021-10-10;8,2;34,6;21;
2021-10-11;29,6;28,2;19,1;
2021-10-12;0;32;20,6;
2021-10-13;7,6;31,9;21,5;
2021-10-14;2,2;27,4;21,9;
2021-10-15;9;33,9;19,4;
2021-10-16;0;33;22,7;
2021-10-17;0;35,1;20,8;
2021-10-18;7;31,9;20,8;
2021-10-19;13,2;30,1;21,1;
2021-10-20;0;33,7;20,6;
2021-10-21;0;34;21,9;
2021-10-22;2,6;30,2;20,8;
2021-10-23;null;32,4;20,8;
2021-10-24;null;32,4;20,8;
2021-10-25;0;32;21,3;
2021-10-26;11,8;34,1;20,4;
2021-10-27;2,8;34,1;20,9;
2021-10-28;0;34,6;22,2;
2021-10-29;0;34,7;23;
2021-10-30;4,4;31,4;20,3;
2021-10-31;null;28,2;20,8;
2021-11-01;14;28,9;19,7;
2021-11-02;null;29,5;21,3;
2021-11-03;5,8;27,6;20,7;
2021-11-04;null;27,7;21,3;
2021-11-05;null;30,2;19,2;
2021-11-06;null;33,4;20,7;
2021-11-07;null;27,3;20,6;
2021-11-08;null;29,2;21,8;
2021-11-09;17,8;30,1;20,6;
2021-11-10;10,4;27,1;20,7;
2021-11-11;21,4;28,8;20,7;
2021-11-12;,6;29,2;21,3;
2021-11-13;null;null;21,2;
2021-11-14;null;null;null;
2021-11-15;null;26,9;20,5;
2021-11-16;null;28,8;null;
2021-11-17;25;30,7;20,6;
2021-11-18;14,6;24,6;20,4;
2021-11-19;null;31,2;20,1;
2021-11-20;null;28,8;20,8;
2021-11-21;11,6;29,8;21,2;
2021-11-22;6;31,8;20,7;
2021-11-23;null;30,6;21,5;
2021-11-24;null;33,8;20,1;
2021-11-25;0;33,2;20,5;
2021-11-26;null;33,1;21,3;
2021-11-27;0;30,5;21;
2021-11-28;null;27,3;23,3;
2021-11-29;null;28,7;21,2;
2021-11-30;null;31,8;20,8;
2021-12-01;null;28,6;22,2;
2021-12-02;null;27,7;20,6;
2021-12-03;16,6;32,1;21;
2021-12-04;null;30,8;20,1;
2021-12-05;null;29,2;20,3;
2021-12-06;0;31,2;20,5;
2021-12-07;null;31,4;20,6;
2021-12-08;0;27;20,8;
2021-12-09;2,2;29,6;20,5;
2021-12-10;,2;32;21,3;
2021-12-11;1,6;31,7;21,1;
2021-12-12;null;28,6;21,4;
2021-12-13;null;27,4;20,3;
2021-12-14;null;27,3;20,1;
2021-12-15;1,4;28,8;21,3;
2021-12-16;,4;27,6;21,2;
2021-12-17;null;30,2;20,8;
2021-12-18;null;29,9;21,6;
2021-12-19;null;null;20,1;
2021-12-20;null;30,5;21,1;
2021-12-21;3,2;28,7;21,7;
2021-12-22;11;30,8;22,1;
2021-12-23;1,4;28,6;21,9;
2021-12-24;34;24,5;19,4;
2021-12-25;null;30,8;17,8;
2021-12-26;null;32,1;19,4;
2021-12-27;,6;32,6;20,5;
2021-12-28;42;29,1;20,4;
2021-12-29;74;26,9;20,4;
2021-12-30;15,4;24,8;19,5;
2021-12-31;33,8;26,7;19,8;

